site;Total;Nb_dif_Sp;Margalef_Index
4823527_698U;926;42;139.25
4853517_734U;1048;43;157.62
4887274_717U;273;31;40.95
4891018_735U;1486;43;223.56
4962279_693U;1308;44;196.76
4969780_675U;1944;54;292.51
4977286_743U;892;31;134.13
4981037_744U;106;20;15.81
5018532_718U;808;44;121.49
5134783_719U;1786;51;268.72
5164788_705U;924;34;138.95
5172288_699U;868;28;130.52
5191040_715U;1042;41;156.72
5194784_720U;1126;26;169.36
5213539_691U;1456;49;219.04
5217291_662U;1559,5;27;234.62
5221038_751U;1242;51;186.82
5224791_716U;186;22;27.85
5239807_658U;1270;36;191.04
5262292_721U;1428;45;214.83
5299794_731U;508;37;76.33
5307296_689U;1526;48;229.58
5314795_714U;355;29;53.29
5326049_659U;754;27;113.36
5367299_678U;1538;46;231.39
5382321_646U;810;32;121.79
5386051_758U;1110;32;166.95
5461061_683U;1854;55;278.96
5487313_666U;1858;48;279.56
5491056_682U;970;37;145.88
5491080_649U;750;35;112.76
5494804_681U;1182;43;177.79
5517309_759U;752;44;113.06
5532306_723U;1368;56;205.79
5599833_651U;1628;41;244.93
5629814_724U;954;45;143.47
5629822_711U;794;33;119.38
5656065_747U;3248;47;488.82
5663565_748U;1296;36;194.95
5663568_726U;926;29;139.25
5671071_710U;2078;37;312.68
5689820_727U;2672;45;402.1
5776081_667U;682;33;102.52
5783572_749U;2410;49;362.66
5806074_730U;2648;54;398.49
5813613_632U;1431;38;215.28
5821086_671U;1810;52;272.33
5836087_669U;1174;38;176.59
6094849_712U;1054;36;158.52
6124852_713U;2724,8;38;410.05
6256111_591U;1930;37;290.4
6319864_611U;918;34;138.05
6334866_592U;694;37;104.33
6334869_576U;944;47;141.96
6342367_561U;922;39;138.65
6417373_593U;178;25;26.65
6466152_538U;508;26;76.33
6488635_577U;1106;39;166.35
6492407_540U;724;20;108.84
6529884_595U;976;33;146.78
6582389_596U;3530;47;531.27
6623651_574U;894;33;134.44
6661156_565U;766;28;115.17
6736159_579U;2170;39;326.53
6751161_599U;1382;32;207.9
7021195_608U;443;25;66.54
7028691_600U;2368;48;356.34
7156220_621U;4580;59;689.34
7163716_581U;2046;49;307.86
7283741_560U;998;33;150.09
7294994_567U;2452;44;368.98
7400011_615U;454;36;68.2
7415041_544U;169;28;25.29
7448771_616U;2076;47;312.38
7471275_617U;1678;42;252.46
7505041_570U;840;30;126.31
7535037_618U;3314;52;498.75
7583800_571U;275;20;41.25
7591298_606U;1220;40;183.51
7617557_454U;3650;42;549.33
7662567_455U;1540;35;231.69
7688821_514U;310;35;46.52
7696338_471U;874;32;131.42
7707589_442U;990;33;148.89
7745080_521U;1962;48;295.22
7748834_439U;902;25;135.64
7756334_468H;409;30;61.42
7756334_468U;1445;45;217.39
7756336_469U;1992;41;299.73
7801347_460U;1470;54;221.15
7812599_515U;1556;36;234.1
7842610_516U;1231;48;185.17
7883892_528U;1134;46;170.57
7891395_533U;910;32;136.84
7906412_530U;694;31;104.33
7936400_490U;1574;40;236.81
7951405_438U;304;12;45.61
7958912_492U;1802;49;271.13
7981429_525U;732;24;110.05
8003926_524U;706;36;106.13
8007759_420U;225;24;33.72
8022736_435U;956;44;143.77
8041438_462U;1754;41;263.9
8045198_496U;2350;48;353.63
8067703_512U;1144;29;172.07
8067722_494U;944;44;141.96
